"YEAR","GENDER","NAME","COUNT"
"2009","MALE","DANIEL","3423"
"2009","MALE","ANTHONY","3106"
"2009","MALE","ANGEL","3058"
"2009","MALE","JACOB","2978"
"2009","MALE","ALEXANDER","2905"
"2009","MALE","ETHAN","2687"
"2009","MALE","DAVID","2648"
"2009","MALE","ANDREW","2605"
"2009","MALE","MATTHEW","2435"
"2009","MALE","JOSHUA","2435"
"2010","MALE","JACOB","3368"
"2010","MALE","DANIEL","3175"
"2010","MALE","ANTHONY","2882"
"2010","MALE","ALEXANDER","2619"
"2010","MALE","ANGEL","2581"
"2010","MALE","ETHAN","2497"
"2010","MALE","JAYDEN","2460"
"2010","MALE","DAVID","2442"
"2010","MALE","ANDREW","2391"
"2010","MALE","NATHAN","2286"
"2011","MALE","JACOB","3180"
"2011","MALE","DANIEL","2936"
"2011","MALE","JAYDEN","2773"
"2011","MALE","ANTHONY","2716"
"2011","MALE","ALEXANDER","2494"
"2011","MALE","MATTHEW","2490"
"2011","MALE","ETHAN","2408"
"2011","MALE","DAVID","2324"
"2011","MALE","ANDREW","2310"
"2011","MALE","NATHAN","2261"
