"YEAR","GENDER","NAME","COUNT"
"2000","MALE","A","26"
"2000","MALE","B","25"
"2000","MALE","C","24"
"2000","MALE","D","23"
"2000","MALE","E","22"
"2000","MALE","F","21"
"2000","MALE","G","20"
"2000","MALE","H","19"
"2000","MALE","I","18"
"2000","MALE","J","17"
"2000","MALE","K","16"
"2000","MALE","L","15"
"2000","FEMALE","M","14"
"2000","FEMALE","N","13"
"2000","FEMALE","O","12"
"2000","FEMALE","P","11"
"2000","FEMALE","Q","10"
"2000","FEMALE","R","9"
"2000","FEMALE","S","8"
"2000","FEMALE","T","7"
"2000","FEMALE","U","6"
"2000","FEMALE","V","5"
"2000","FEMALE","W","4"
"2000","FEMALE","X","3"
